company_id,file_name,section,overall_sentiment,sentiment_score,confidence,chunk_count,positive_ratio,negative_ratio
1084384,1084384_10K_2020_0001628280-21-012457.json,item_1A,Negative,-0.5,1.0,99,0.03,0.64
1084577,1084577_10K_2020_0001213900-21-018692.json,item_7,Negative,-0.18,1.0,78,0.06,0.26
1084577,1084577_10K_2020_0001213900-21-018692.json,item_1A,Negative,-0.41,1.0,160,0.04,0.54
1092699,1092699_10K_2020_0001564590-21-007614.json,item_7,Positive,0.11,1.0,44,0.16,0.02
1092699,1092699_10K_2020_0001564590-21-007614.json,item_1A,Negative,-0.56,1.0,89,0.02,0.67
1102993,1102993_10K_2020_0001102993-21-000031.json,item_7,Positive,0.18,1.0,131,0.33,0.11
1102993,1102993_10K_2020_0001102993-21-000031.json,item_1A,Negative,-0.45,1.0,251,0.03,0.57
1107843,1107843_10K_2020_0001437749-21-003648.json,item_7,Neutral,0.03,1.0,66,0.17,0.14
1107843,1107843_10K_2020_0001437749-21-003648.json,item_1A,Negative,-0.49,1.0,165,0.03,0.62
1108524,1108524_10K_2021_0001108524-22-000008.json,item_7,Positive,0.07,1.0,108,0.24,0.13
1108524,1108524_10K_2021_0001108524-22-000008.json,item_1A,Negative,-0.5,1.0,201,0.04,0.63
1118417,1118417_10K_2021_0001118417-21-000166.json,item_7,Positive,0.07,1.0,58,0.14,0.07
1118417,1118417_10K_2021_0001118417-21-000166.json,item_1A,Negative,-0.4,1.0,245,0.03,0.52
1131554,1131554_10K_2020_0001131554-21-000012.json,item_7,Negative,-0.08,1.0,101,0.1,0.19
1131554,1131554_10K_2020_0001131554-21-000012.json,item_1A,Negative,-0.51,1.0,225,0.03,0.64
1160951,1160951_10K_2021_0001564590-21-052973.json,item_7,Positive,0.06,1.0,112,0.26,0.2
1160951,1160951_10K_2021_0001564590-21-052973.json,item_1A,Negative,-0.47,1.0,213,0.04,0.62
1166388,1166388_10K_2021_0001166388-21-000028.json,item_7,Negative,-0.22,1.0,157,0.04,0.3
1166388,1166388_10K_2021_0001166388-21-000028.json,item_1A,Negative,-0.33,1.0,123,0.06,0.46
1167419,1167419_10K_2020_0001079973-21-000221.json,item_7,Neutral,-0.03,1.0,72,0.12,0.17
1167419,1167419_10K_2020_0001079973-21-000221.json,item_1A,Negative,-0.44,1.0,192,0.04,0.57
1169561,1169561_10K_2021_0001169561-21-000018.json,item_7,Negative,-0.21,1.0,67,0.07,0.33
1169561,1169561_10K_2021_0001169561-21-000018.json,item_1A,Negative,-0.49,1.0,118,0.01,0.62
1169652,1169652_10K_2020_0001169652-21-000007.json,item_7,Positive,0.05,1.0,100,0.26,0.19
1169652,1169652_10K_2020_0001169652-21-000007.json,item_1A,Negative,-0.4,1.0,137,0.07,0.54
1212458,1212458_10K_2020_0001564590-21-006943.json,item_7,Positive,0.08,1.0,131,0.22,0.14
1212458,1212458_10K_2020_0001564590-21-006943.json,item_1A,Negative,-0.51,1.0,162,0.02,0.64
